block_number,block_time,tx_hash,tx_index,from_addr,to_addr,mev_bot_label,base_fees,priority_fees,cb_transfer,mev_value,volume,token_bought_amount,token_sold_amount,token_bought_contract,token_sold_contract,token_bought_symbol,token_sold_symbol,pair,multi_trade,builder_label
17871620,2023-08-08 17:13:59.000 UTC,0x4a9fb3959883f5cbdb737d66a8330293db55ec5b5c5d504329f976a0dec7754c,2,0x24f7ef98522dd61d529464f67bb3ffe96ea8afc2,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,Galio,0.005089976871217114,0.0035930903559090828,0,0.0035930903559090828,178534.77717809158,96.40054706944971,178646.129499,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ETH,USDC,USDC-WETH,0,Flashbots
17869335,2023-08-08 09:33:23.000 UTC,0x9d88332bdeffb9d857111e1ee5d6fc1f84200e1bb65dd21ac8a1a1ff2af1d89a,16,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.00200783061276375,0,0.000256514392355389,0.000256514392355389,3480.186952526402,63.77180058028527,1.9022404524281789,0xc00e94cb662c3520282e6f5717214004a7f26888,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,COMP,ETH,COMP-WETH,0,beaverbuild
17866565,2023-08-08 00:15:35.000 UTC,0x7f4663b40a54c6b05dddb386bbef5b8df754a9c9c63bccd164b6cf911f85c4f1,0,0x675bb023e268dcc43f543620577bcacb73047f08,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,Galio,0.001690555072532902,0.006032167544339712,0,0.006032167544339712,132313.77207988137,72.33857933720122,4.53481363,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,ETH,WBTC,WBTC-WETH,0,rsync-builder
17868894,2023-08-08 08:04:59.000 UTC,0xee9aaa911a328bfe6537d404b7b0589a73a98ed17478be28e8c2cf03998195d7,5,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.001967354401510638,0,0.000796860818014702,0.000796860818014702,1398.5270568816761,2089.2092838055983,0.763976126211591,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MATIC,ETH,MATIC-WETH,0,beaverbuild
17872694,2023-08-08 20:50:47.000 UTC,0xe4f8637c97a35b27198defd7c111a29f554b6f5076781ee3e3687720479907ba,110,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.00317319795383567,0,0.000384499173813145,0.000384499173813145,8337.627878553189,4489.392250753011,4.4754253285344925,0x4d224452801aced8b2f0aebe155379bb5d594381,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,APE,ETH,APE-WETH,0,beaverbuild
17872893,2023-08-08 21:30:59.000 UTC,0x8de4a4090e301996cd0afcbadf71feffd1ece163ed8972f8a9388905a73694ca,15,0xeca2e2d894d19778939bd4dfc34d2a3c45e96456,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.004354284342593664,0,0.006427061388147434,0.006427061388147434,21061.295103076078,21069.659758,0.70484167,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,USDT,WBTC,USDT-WBTC,0,beaverbuild
17869569,2023-08-08 10:20:23.000 UTC,0x8eb8ac23046760259934e560cad49f9d78cfbf5e5a454732fc2cecac884ef564,17,0x000000000002e6fd89ac3b5798a5d32312b8a49f,0xa5db73941cfd6d94821b5ce83d2aa35418bb72d6,,0.00228329174038676,0,0.002529388424255875,0.002529388424255875,2137.7482173867666,1.1680982112478302,9963.939999999999,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x18aaa7115705e8be94bffebde57af9bfc265b998,ETH,AUDIO,AUDIO-WETH,0,Flashbots
17870049,2023-08-08 11:57:23.000 UTC,0x0b25efd866ac0a86c5032fd4319352e448bdfa365346a33b63913a6bda1903eb,0,0x5d3a10e4cd115311ed3599be26a60abf279871f2,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,Galio,0.002291950151408841,0.003113077899158997,0,0.003113077899158997,165830.9649466911,90.42283865246658,165997.505081,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,ETH,USDC,USDC-WETH,0,beaverbuild
17873227,2023-08-08 22:38:23.000 UTC,0xacd77d4702de3b5c2a598a90836580f7455fc25aa653256f6db984cf5b4d8d53,14,0x26bce6ecb5b10138e4bf14ac0ffcc8727fef3b2e,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.004599084185170433,0,0.001299521776610393,0.001299521776610393,33046.357805449494,33064.2124801888,17.817385868757057,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DAI,ETH,DAI-WETH,0,beaverbuild
17872108,2023-08-08 18:52:47.000 UTC,0xc02380625ecf19da9af4edabc66eae1b7f0256b9b06d846d831bbc2f3245a930,6,0xfa1d4ce9f0423bf353795ba85b47c3bb46e9a69f,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,SCP,0.014612916829042085,0,0.00101398520034125,0.00101398520034125,43809.8351523144,23.566978752690712,658.4898829852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,ETH,AAVE,AAVE-WETH,0,beaverbuild
